"Module Settings","Настройки модуля"
"Giftd User ID (user_id)","ID пользователя Giftd (user_id)"
"Giftd API Key (api_key)","Ключ API Giftd (api_key)"
"Partner Token Prefix","Префикс кодов подарочных карт"
"You have successfully enabled Giftd module!","Вы успешно включили модуль Giftd!"
"You have successfully disabled Giftd module!","Вы успешно отключили модуль Giftd!"
"An error occurred while synchronization with Giftd: %1","В процессе синхронизации с Giftd произошла ошибка: %1"
"An error occurred while synchronization with Giftd. Please, try again later.","В процессе синхронизации с Giftd произошла ошибка. Пожалуйста, попробуйте снова немного позднее."
"Coupon code ""%1"" is no longer active.","Купон с кодом ""%1"" больше не активен."
"Could not use coupon code ""%1"" at the moment. Please, try again later.","Невозможно использовать купон с кодом ""%1"" в данный момент. Пожалуйста, попробуйте снова позднее."
"To use this gift card the subtotal should be at least %1","Для использования этой подарочной карты общая сумма должна быть не менее %1"